total_earned;;;;;;;;;
958;;;;;;;;;
1041;;;;;;;;;
1157;;;;;;;;;
1066;;;;;;;;;
1020;;;;;;;;;
1210;;;;;;;;;
1047;;;;;;;;;
1048;;;;;;;;;
974;;;;;;;;;
825;;;;;;;;;
1126;;;;;;;;;
991;;;;;;;;;
922;;;;;;;;;
889;;;;;;;;;
1017;;;;;;;;;
925;;;;;;;;;
862;;;;;;;;;
964;;;;;;;;;
863;;;;;;;;;
844;;;;;;;;;
848;;;;;;;;;
771;;;;;;;;;
851;;;;;;;;;
883;;;;;;;;;
801;;;;;;;;;
1081;;;;;;;;;
908;;;;;;;;;
754;;;;;;;;;
724;;;;;;;;;
728;;;;;;;;;
720;;;;;;;;;
685;;;;;;;;;
702;;;;;;;;;
656;;;;;;;;;
680;;;;;;;;;
806;;;;;;;;;
727;;;;;;;;;
738;;;;;;;;;
763;;;;;;;;;